wind_code,i_weight
600016.SH,2.686
600019.SH,0.909
600028.SH,1.153
600029.SH,0.403
600030.SH,3.005
600031.SH,1.389
600036.SH,6.442
600048.SH,1.809
600050.SH,1.006
600104.SH,1.449
600196.SH,0.45
600276.SH,4.95
600309.SH,1.26
600340.SH,0.905
600519.SH,10.432
600585.SH,1.483
600690.SH,1.03
600703.SH,0.654
600837.SH,2.007
600887.SH,3.111
601066.SH,0.175
601088.SH,1.07
601111.SH,0.436
601138.SH,0.322
601166.SH,4.789
601186.SH,0.759
601211.SH,1.354
601229.SH,1.166
601288.SH,2.453
601318.SH,16.794
601319.SH,0.16
601328.SH,2.712
601336.SH,0.7
601390.SH,0.825
601398.SH,2.243
601601.SH,1.909
601628.SH,0.98
601668.SH,1.935
601688.SH,1.118
601766.SH,1.233
601800.SH,0.389
601818.SH,1.216
601857.SH,0.838
601888.SH,1.552
601939.SH,0.861
601988.SH,1.372
601989.SH,0.853
603259.SH,0.243
603993.SH,0.423
