date,product,role,contract,expire,spot,future,basis_raw,calibre,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-01-05,IM,current,IM1501,2015-01-16,6049.787,,,y,0.0,,,
2015-01-05,IM,current,IM1501,2015-01-16,6049.787,,,d,0.0,,,
2015-01-05,IM,current,IM1501,2015-01-16,6049.787,,,p,0.0,,,
2015-01-05,IM,current,IM1501,2015-01-16,6049.787,,,pq,0.0,,,
2015-01-05,IM,next,IM1502,2015-02-20,6049.787,,,y,0.0,,,
2015-01-05,IM,next,IM1502,2015-02-20,6049.787,,,d,0.0,,,
2015-01-05,IM,next,IM1502,2015-02-20,6049.787,,,p,0.0,,,
2015-01-05,IM,next,IM1502,2015-02-20,6049.787,,,pq,0.0,,,
2015-01-05,IM,q1,IM1503,2015-03-20,6049.787,,,y,0.41609522922977654,,,0.0
2015-01-05,IM,q1,IM1503,2015-03-20,6049.787,,,d,0.41609522922977654,,,0.0
2015-01-05,IM,q1,IM1503,2015-03-20,6049.787,,,p,0.41609522922977654,,,0.0
2015-01-05,IM,q1,IM1503,2015-03-20,6049.787,,,pq,0.41609522922977654,,,0.0
2015-01-05,IM,q2,IM1506,2015-06-19,6049.787,,,y,23.709235458800492,,,0.0
2015-01-05,IM,q2,IM1506,2015-06-19,6049.787,,,d,23.70778117475761,,,0.0
2015-01-05,IM,q2,IM1506,2015-06-19,6049.787,,,p,23.78039992216363,,,0.0
2015-01-05,IM,q2,IM1506,2015-06-19,6049.787,,,pq,23.78039992216363,,,0.0
2015-01-06,IM,current,IM1501,2015-01-16,6172.392,,,y,0.0,,,
2015-01-06,IM,current,IM1501,2015-01-16,6172.392,,,d,0.0,,,
2015-01-06,IM,current,IM1501,2015-01-16,6172.392,,,p,0.0,,,
2015-01-06,IM,current,IM1501,2015-01-16,6172.392,,,pq,0.0,,,
2015-01-06,IM,next,IM1502,2015-02-20,6172.392,,,y,0.0,,,
2015-01-06,IM,next,IM1502,2015-02-20,6172.392,,,d,0.0,,,
2015-01-06,IM,next,IM1502,2015-02-20,6172.392,,,p,0.0,,,
2015-01-06,IM,next,IM1502,2015-02-20,6172.392,,,pq,0.0,,,
2015-01-06,IM,q1,IM1503,2015-03-20,6172.392,,,y,0.4245278162910593,,,0.0
2015-01-06,IM,q1,IM1503,2015-03-20,6172.392,,,d,0.4245278162910593,,,0.0
2015-01-06,IM,q1,IM1503,2015-03-20,6172.392,,,p,0.4245278162910593,,,0.0
2015-01-06,IM,q1,IM1503,2015-03-20,6172.392,,,pq,0.4245278162910593,,,0.0
2015-01-06,IM,q2,IM1506,2015-06-19,6172.392,,,y,24.189726889891574,,,0.0
2015-01-06,IM,q2,IM1506,2015-06-19,6172.392,,,d,24.188243133324274,,,0.0
2015-01-06,IM,q2,IM1506,2015-06-19,6172.392,,,p,24.26233357246518,,,0.0
2015-01-06,IM,q2,IM1506,2015-06-19,6172.392,,,pq,24.26233357246518,,,0.0
2015-01-07,IM,current,IM1501,2015-01-16,6166.769,,,y,0.0,,,
2015-01-07,IM,current,IM1501,2015-01-16,6166.769,,,d,0.0,,,
2015-01-07,IM,current,IM1501,2015-01-16,6166.769,,,p,0.0,,,
2015-01-07,IM,current,IM1501,2015-01-16,6166.769,,,pq,0.0,,,
2015-01-07,IM,next,IM1502,2015-02-20,6166.769,,,y,0.0,,,
2015-01-07,IM,next,IM1502,2015-02-20,6166.769,,,d,0.0,,,
2015-01-07,IM,next,IM1502,2015-02-20,6166.769,,,p,0.0,,,
2015-01-07,IM,next,IM1502,2015-02-20,6166.769,,,pq,0.0,,,
2015-01-07,IM,q1,IM1503,2015-03-20,6166.769,,,y,0.42414107482826746,,,0.0
2015-01-07,IM,q1,IM1503,2015-03-20,6166.769,,,d,0.42414107482826746,,,0.0
2015-01-07,IM,q1,IM1503,2015-03-20,6166.769,,,p,0.42414107482826746,,,0.0
2015-01-07,IM,q1,IM1503,2015-03-20,6166.769,,,pq,0.42414107482826746,,,0.0
2015-01-07,IM,q2,IM1506,2015-06-19,6166.769,,,y,24.16769024116579,,,0.0
2015-01-07,IM,q2,IM1506,2015-06-19,6166.769,,,d,24.166207836288915,,,0.0
2015-01-07,IM,q2,IM1506,2015-06-19,6166.769,,,p,24.240230779629282,,,0.0
2015-01-07,IM,q2,IM1506,2015-06-19,6166.769,,,pq,24.240230779629282,,,0.0
2015-01-08,IM,current,IM1501,2015-01-16,6164.111,,,y,0.0,,,
2015-01-08,IM,current,IM1501,2015-01-16,6164.111,,,d,0.0,,,
2015-01-08,IM,current,IM1501,2015-01-16,6164.111,,,p,0.0,,,
2015-01-08,IM,current,IM1501,2015-01-16,6164.111,,,pq,0.0,,,
2015-01-08,IM,next,IM1502,2015-02-20,6164.111,,,y,0.0,,,
2015-01-08,IM,next,IM1502,2015-02-20,6164.111,,,d,0.0,,,
2015-01-08,IM,next,IM1502,2015-02-20,6164.111,,,p,0.0,,,
2015-01-08,IM,next,IM1502,2015-02-20,6164.111,,,pq,0.0,,,
2015-01-08,IM,q1,IM1503,2015-03-20,6164.111,,,y,0.42395826159545563,,,0.0
2015-01-08,IM,q1,IM1503,2015-03-20,6164.111,,,d,0.42395826159545563,,,0.0
2015-01-08,IM,q1,IM1503,2015-03-20,6164.111,,,p,0.42395826159545563,,,0.0
2015-01-08,IM,q1,IM1503,2015-03-20,6164.111,,,pq,0.42395826159545563,,,0.0
2015-01-08,IM,q2,IM1506,2015-06-19,6164.111,,,y,24.15727348635285,,,0.0
2015-01-08,IM,q2,IM1506,2015-06-19,6164.111,,,d,24.15579172042194,,,0.0
2015-01-08,IM,q2,IM1506,2015-06-19,6164.111,,,p,24.229782758402564,,,0.0
2015-01-08,IM,q2,IM1506,2015-06-19,6164.111,,,pq,24.229782758402564,,,0.0
2015-01-09,IM,current,IM1501,2015-01-16,6128.012,,,y,0.0,,,
2015-01-09,IM,current,IM1501,2015-01-16,6128.012,,,d,0.0,,,
2015-01-09,IM,current,IM1501,2015-01-16,6128.012,,,p,0.0,,,
2015-01-09,IM,current,IM1501,2015-01-16,6128.012,,,pq,0.0,,,
2015-01-09,IM,next,IM1502,2015-02-20,6128.012,,,y,0.0,,,
2015-01-09,IM,next,IM1502,2015-02-20,6128.012,,,d,0.0,,,
2015-01-09,IM,next,IM1502,2015-02-20,6128.012,,,p,0.0,,,
2015-01-09,IM,next,IM1502,2015-02-20,6128.012,,,pq,0.0,,,
2015-01-09,IM,q1,IM1503,2015-03-20,6128.012,,,y,0.42147542679813704,,,0.0
2015-01-09,IM,q1,IM1503,2015-03-20,6128.012,,,d,0.42147542679813704,,,0.0
2015-01-09,IM,q1,IM1503,2015-03-20,6128.012,,,p,0.42147542679813704,,,0.0
2015-01-09,IM,q1,IM1503,2015-03-20,6128.012,,,pq,0.42147542679813704,,,0.0
2015-01-09,IM,q2,IM1506,2015-06-19,6128.012,,,y,24.01580078808641,,,0.0
2015-01-09,IM,q2,IM1506,2015-06-19,6128.012,,,d,24.014327699849385,,,0.0
2015-01-09,IM,q2,IM1506,2015-06-19,6128.012,,,p,24.087885422712866,,,0.0
2015-01-09,IM,q2,IM1506,2015-06-19,6128.012,,,pq,24.087885422712866,,,0.0
2015-01-12,IM,current,IM1501,2015-01-16,6062.283,,,y,0.0,,,
2015-01-12,IM,current,IM1501,2015-01-16,6062.283,,,d,0.0,,,
2015-01-12,IM,current,IM1501,2015-01-16,6062.283,,,p,0.0,,,
2015-01-12,IM,current,IM1501,2015-01-16,6062.283,,,pq,0.0,,,
2015-01-12,IM,next,IM1502,2015-02-20,6062.283,,,y,0.0,,,
2015-01-12,IM,next,IM1502,2015-02-20,6062.283,,,d,0.0,,,
2015-01-12,IM,next,IM1502,2015-02-20,6062.283,,,p,0.0,,,
2015-01-12,IM,next,IM1502,2015-02-20,6062.283,,,pq,0.0,,,
2015-01-12,IM,q1,IM1503,2015-03-20,6062.283,,,y,0.4169546852708661,,,0.0
2015-01-12,IM,q1,IM1503,2015-03-20,6062.283,,,d,0.4169546852708661,,,0.0
2015-01-12,IM,q1,IM1503,2015-03-20,6062.283,,,p,0.4169546852708661,,,0.0
2015-01-12,IM,q1,IM1503,2015-03-20,6062.283,,,pq,0.4169546852708661,,,0.0
2015-01-12,IM,q2,IM1506,2015-06-19,6062.283,,,y,23.75820753108885,,,0.0
2015-01-12,IM,q2,IM1506,2015-06-19,6062.283,,,d,23.756750243182626,,,0.0
2015-01-12,IM,q2,IM1506,2015-06-19,6062.283,,,p,23.829518986591413,,,0.0
2015-01-12,IM,q2,IM1506,2015-06-19,6062.283,,,pq,23.829518986591413,,,0.0
2015-01-13,IM,current,IM1501,2015-01-16,6167.117,,,y,0.0,,,
2015-01-13,IM,current,IM1501,2015-01-16,6167.117,,,d,0.0,,,
2015-01-13,IM,current,IM1501,2015-01-16,6167.117,,,p,0.0,,,
2015-01-13,IM,current,IM1501,2015-01-16,6167.117,,,pq,0.0,,,
2015-01-13,IM,next,IM1502,2015-02-20,6167.117,,,y,0.0,,,
2015-01-13,IM,next,IM1502,2015-02-20,6167.117,,,d,0.0,,,
2015-01-13,IM,next,IM1502,2015-02-20,6167.117,,,p,0.0,,,
2015-01-13,IM,next,IM1502,2015-02-20,6167.117,,,pq,0.0,,,
2015-01-13,IM,q1,IM1503,2015-03-20,6167.117,,,y,0.4241650097436243,,,0.0
2015-01-13,IM,q1,IM1503,2015-03-20,6167.117,,,d,0.4241650097436243,,,0.0
2015-01-13,IM,q1,IM1503,2015-03-20,6167.117,,,p,0.4241650097436243,,,0.0
2015-01-13,IM,q1,IM1503,2015-03-20,6167.117,,,pq,0.4241650097436243,,,0.0
2015-01-13,IM,q2,IM1506,2015-06-19,6167.117,,,y,24.16905406008035,,,0.0
2015-01-13,IM,q2,IM1506,2015-06-19,6167.117,,,d,24.167571571549153,,,0.0
2015-01-13,IM,q2,IM1506,2015-06-19,6167.117,,,p,24.241598692114948,,,0.0
2015-01-13,IM,q2,IM1506,2015-06-19,6167.117,,,pq,24.241598692114948,,,0.0
2015-01-14,IM,current,IM1501,2015-01-16,6139.29,,,y,0.0,,,
2015-01-14,IM,current,IM1501,2015-01-16,6139.29,,,d,0.0,,,
2015-01-14,IM,current,IM1501,2015-01-16,6139.29,,,p,0.0,,,
2015-01-14,IM,current,IM1501,2015-01-16,6139.29,,,pq,0.0,,,
2015-01-14,IM,next,IM1502,2015-02-20,6139.29,,,y,0.0,,,
2015-01-14,IM,next,IM1502,2015-02-20,6139.29,,,d,0.0,,,
2015-01-14,IM,next,IM1502,2015-02-20,6139.29,,,p,0.0,,,
2015-01-14,IM,next,IM1502,2015-02-20,6139.29,,,pq,0.0,,,
2015-01-14,IM,q1,IM1503,2015-03-20,6139.29,,,y,0.42225111063547766,,,0.0
2015-01-14,IM,q1,IM1503,2015-03-20,6139.29,,,d,0.42225111063547766,,,0.0
2015-01-14,IM,q1,IM1503,2015-03-20,6139.29,,,p,0.42225111063547766,,,0.0
2015-01-14,IM,q1,IM1503,2015-03-20,6139.29,,,pq,0.42225111063547766,,,0.0
2015-01-14,IM,q2,IM1506,2015-06-19,6139.29,,,y,24.059999494173805,,,0.0
2015-01-14,IM,q2,IM1506,2015-06-19,6139.29,,,d,24.058523694863577,,,0.0
2015-01-14,IM,q2,IM1506,2015-06-19,6139.29,,,p,24.13221679344082,,,0.0
2015-01-14,IM,q2,IM1506,2015-06-19,6139.29,,,pq,24.13221679344082,,,0.0
2015-01-15,IM,current,IM1501,2015-01-16,6168.658,,,y,0.0,,,
2015-01-15,IM,current,IM1501,2015-01-16,6168.658,,,d,0.0,,,
2015-01-15,IM,current,IM1501,2015-01-16,6168.658,,,p,0.0,,,
2015-01-15,IM,current,IM1501,2015-01-16,6168.658,,,pq,0.0,,,
2015-01-15,IM,next,IM1502,2015-02-20,6168.658,,,y,0.0,,,
2015-01-15,IM,next,IM1502,2015-02-20,6168.658,,,d,0.0,,,
2015-01-15,IM,next,IM1502,2015-02-20,6168.658,,,p,0.0,,,
2015-01-15,IM,next,IM1502,2015-02-20,6168.658,,,pq,0.0,,,
2015-01-15,IM,q1,IM1503,2015-03-20,6168.658,,,y,0.42427099740042,,,0.0
2015-01-15,IM,q1,IM1503,2015-03-20,6168.658,,,d,0.42427099740042,,,0.0
2015-01-15,IM,q1,IM1503,2015-03-20,6168.658,,,p,0.42427099740042,,,0.0
2015-01-15,IM,q1,IM1503,2015-03-20,6168.658,,,pq,0.42427099740042,,,0.0
2015-01-15,IM,q2,IM1506,2015-06-19,6168.658,,,y,24.175093269699136,,,0.0
2015-01-15,IM,q2,IM1506,2015-06-19,6168.658,,,d,24.173610410733126,,,0.0
2015-01-15,IM,q2,IM1506,2015-06-19,6168.658,,,p,24.24765602872532,,,0.0
2015-01-15,IM,q2,IM1506,2015-06-19,6168.658,,,pq,24.24765602872532,,,0.0
2015-01-16,IM,current,IM1501,2015-01-16,6252.075,,,y,0.0,,,
2015-01-16,IM,current,IM1501,2015-01-16,6252.075,,,d,0.0,,,
2015-01-16,IM,current,IM1501,2015-01-16,6252.075,,,p,0.0,,,
2015-01-16,IM,current,IM1501,2015-01-16,6252.075,,,pq,0.0,,,
2015-01-16,IM,next,IM1502,2015-02-20,6252.075,,,y,0.0,,,
2015-01-16,IM,next,IM1502,2015-02-20,6252.075,,,d,0.0,,,
2015-01-16,IM,next,IM1502,2015-02-20,6252.075,,,p,0.0,,,
2015-01-16,IM,next,IM1502,2015-02-20,6252.075,,,pq,0.0,,,
2015-01-16,IM,q1,IM1503,2015-03-20,6252.075,,,y,0.4300082929013459,,,0.0
2015-01-16,IM,q1,IM1503,2015-03-20,6252.075,,,d,0.4300082929013459,,,0.0
2015-01-16,IM,q1,IM1503,2015-03-20,6252.075,,,p,0.4300082929013459,,,0.0
2015-01-16,IM,q1,IM1503,2015-03-20,6252.075,,,pq,0.4300082929013459,,,0.0
2015-01-16,IM,q2,IM1506,2015-06-19,6252.075,,,y,24.502006150147118,,,0.0
2015-01-16,IM,q2,IM1506,2015-06-19,6252.075,,,d,24.5005032389029,,,0.0
2015-01-16,IM,q2,IM1506,2015-06-19,6252.075,,,p,24.57555015463539,,,0.0
2015-01-16,IM,q2,IM1506,2015-06-19,6252.075,,,pq,24.57555015463539,,,0.0
2015-01-19,IM,current,IM1502,2015-02-20,6109.285,,,y,0.0,,,
2015-01-19,IM,current,IM1502,2015-02-20,6109.285,,,d,0.0,,,
2015-01-19,IM,current,IM1502,2015-02-20,6109.285,,,p,0.0,,,
2015-01-19,IM,current,IM1502,2015-02-20,6109.285,,,pq,0.0,,,
2015-01-19,IM,next,IM1503,2015-03-20,6109.285,,,y,0.42018741197087356,,,0.0
2015-01-19,IM,next,IM1503,2015-03-20,6109.285,,,d,0.42018741197087356,,,0.0
2015-01-19,IM,next,IM1503,2015-03-20,6109.285,,,p,0.42018741197087356,,,0.0
2015-01-19,IM,next,IM1503,2015-03-20,6109.285,,,pq,0.42018741197087356,,,0.0
2015-01-19,IM,q1,IM1503,2015-03-20,6109.285,,,y,0.42018741197087356,,,0.0
2015-01-19,IM,q1,IM1503,2015-03-20,6109.285,,,d,0.42018741197087356,,,0.0
2015-01-19,IM,q1,IM1503,2015-03-20,6109.285,,,p,0.42018741197087356,,,0.0
2015-01-19,IM,q1,IM1503,2015-03-20,6109.285,,,pq,0.42018741197087356,,,0.0
2015-01-19,IM,q2,IM1506,2015-06-19,6109.285,,,y,23.942409302991653,,,0.0
2015-01-19,IM,q2,IM1506,2015-06-19,6109.285,,,d,23.940940716463082,,,0.0
2015-01-19,IM,q2,IM1506,2015-06-19,6109.285,,,p,24.01427364938227,,,0.0
2015-01-19,IM,q2,IM1506,2015-06-19,6109.285,,,pq,24.01427364938227,,,0.0
2015-01-20,IM,current,IM1502,2015-02-20,6336.631,,,y,0.0,,,
2015-01-20,IM,current,IM1502,2015-02-20,6336.631,,,d,0.0,,,
2015-01-20,IM,current,IM1502,2015-02-20,6336.631,,,p,0.0,,,
2015-01-20,IM,current,IM1502,2015-02-20,6336.631,,,pq,0.0,,,
2015-01-20,IM,next,IM1503,2015-03-20,6336.631,,,y,0.4358239271051209,,,0.0
2015-01-20,IM,next,IM1503,2015-03-20,6336.631,,,d,0.4358239271051209,,,0.0
2015-01-20,IM,next,IM1503,2015-03-20,6336.631,,,p,0.4358239271051209,,,0.0
2015-01-20,IM,next,IM1503,2015-03-20,6336.631,,,pq,0.4358239271051209,,,0.0
2015-01-20,IM,q1,IM1503,2015-03-20,6336.631,,,y,0.4358239271051209,,,0.0
2015-01-20,IM,q1,IM1503,2015-03-20,6336.631,,,d,0.4358239271051209,,,0.0
2015-01-20,IM,q1,IM1503,2015-03-20,6336.631,,,p,0.4358239271051209,,,0.0
2015-01-20,IM,q1,IM1503,2015-03-20,6336.631,,,pq,0.4358239271051209,,,0.0
2015-01-20,IM,q2,IM1506,2015-06-19,6336.631,,,y,24.833382794226377,,,0.0
2015-01-20,IM,q2,IM1506,2015-06-19,6336.631,,,d,24.831859556904316,,,0.0
2015-01-20,IM,q2,IM1506,2015-06-19,6336.631,,,p,24.907921442387916,,,0.0
2015-01-20,IM,q2,IM1506,2015-06-19,6336.631,,,pq,24.907921442387916,,,0.0
2015-01-21,IM,current,IM1502,2015-02-20,6465.733,,,y,0.0,,,
2015-01-21,IM,current,IM1502,2015-02-20,6465.733,,,d,0.0,,,
2015-01-21,IM,current,IM1502,2015-02-20,6465.733,,,p,0.0,,,
2015-01-21,IM,current,IM1502,2015-02-20,6465.733,,,pq,0.0,,,
2015-01-21,IM,next,IM1503,2015-03-20,6465.733,,,y,0.44470336803155724,,,0.0
2015-01-21,IM,next,IM1503,2015-03-20,6465.733,,,d,0.44470336803155724,,,0.0
2015-01-21,IM,next,IM1503,2015-03-20,6465.733,,,p,0.44470336803155724,,,0.0
2015-01-21,IM,next,IM1503,2015-03-20,6465.733,,,pq,0.44470336803155724,,,0.0
2015-01-21,IM,q1,IM1503,2015-03-20,6465.733,,,y,0.44470336803155724,,,0.0
2015-01-21,IM,q1,IM1503,2015-03-20,6465.733,,,d,0.44470336803155724,,,0.0
2015-01-21,IM,q1,IM1503,2015-03-20,6465.733,,,p,0.44470336803155724,,,0.0
2015-01-21,IM,q1,IM1503,2015-03-20,6465.733,,,pq,0.44470336803155724,,,0.0
2015-01-21,IM,q2,IM1506,2015-06-19,6465.733,,,y,25.339336097409127,,,0.0
2015-01-21,IM,q2,IM1506,2015-06-19,6465.733,,,d,25.337781825774865,,,0.0
2015-01-21,IM,q2,IM1506,2015-06-19,6465.733,,,p,25.415393389871547,,,0.0
2015-01-21,IM,q2,IM1506,2015-06-19,6465.733,,,pq,25.415393389871547,,,0.0
2015-01-22,IM,current,IM1502,2015-02-20,6568.636,,,y,0.0,,,
2015-01-22,IM,current,IM1502,2015-02-20,6568.636,,,d,0.0,,,
2015-01-22,IM,current,IM1502,2015-02-20,6568.636,,,p,0.0,,,
2015-01-22,IM,current,IM1502,2015-02-20,6568.636,,,pq,0.0,,,
2015-01-22,IM,next,IM1503,2015-03-20,6568.636,,,y,0.4517808812354818,,,0.0
2015-01-22,IM,next,IM1503,2015-03-20,6568.636,,,d,0.45178088123548193,,,0.0
2015-01-22,IM,next,IM1503,2015-03-20,6568.636,,,p,0.4517808812354818,,,0.0
2015-01-22,IM,next,IM1503,2015-03-20,6568.636,,,pq,0.4517808812354818,,,0.0
2015-01-22,IM,q1,IM1503,2015-03-20,6568.636,,,y,0.4517808812354818,,,0.0
2015-01-22,IM,q1,IM1503,2015-03-20,6568.636,,,d,0.45178088123548193,,,0.0
2015-01-22,IM,q1,IM1503,2015-03-20,6568.636,,,p,0.4517808812354818,,,0.0
2015-01-22,IM,q1,IM1503,2015-03-20,6568.636,,,pq,0.4517808812354818,,,0.0
2015-01-22,IM,q2,IM1506,2015-06-19,6568.636,,,y,25.742614999032764,,,0.0
2015-01-22,IM,q2,IM1506,2015-06-19,6568.636,,,d,25.741035990958885,,,0.0
2015-01-22,IM,q2,IM1506,2015-06-19,6568.636,,,p,25.819882753412845,,,0.0
2015-01-22,IM,q2,IM1506,2015-06-19,6568.636,,,pq,25.819882753412845,,,0.0
2015-01-23,IM,current,IM1502,2015-02-20,6502.067,,,y,0.0,,,
2015-01-23,IM,current,IM1502,2015-02-20,6502.067,,,d,0.0,,,
2015-01-23,IM,current,IM1502,2015-02-20,6502.067,,,p,0.0,,,
2015-01-23,IM,current,IM1502,2015-02-20,6502.067,,,pq,0.0,,,
2015-01-23,IM,next,IM1503,2015-03-20,6502.067,,,y,0.4472023657745909,,,0.0
2015-01-23,IM,next,IM1503,2015-03-20,6502.067,,,d,0.44720236577459094,,,0.0
2015-01-23,IM,next,IM1503,2015-03-20,6502.067,,,p,0.4472023657745909,,,0.0
2015-01-23,IM,next,IM1503,2015-03-20,6502.067,,,pq,0.4472023657745909,,,0.0
2015-01-23,IM,q1,IM1503,2015-03-20,6502.067,,,y,0.4472023657745909,,,0.0
2015-01-23,IM,q1,IM1503,2015-03-20,6502.067,,,d,0.44720236577459094,,,0.0
2015-01-23,IM,q1,IM1503,2015-03-20,6502.067,,,p,0.4472023657745909,,,0.0
2015-01-23,IM,q1,IM1503,2015-03-20,6502.067,,,pq,0.4472023657745909,,,0.0
2015-01-23,IM,q2,IM1506,2015-06-19,6502.067,,,y,25.481729765344884,,,0.0
2015-01-23,IM,q2,IM1506,2015-06-19,6502.067,,,d,25.480166759526032,,,0.0
2015-01-23,IM,q2,IM1506,2015-06-19,6502.067,,,p,25.55821445956737,,,0.0
2015-01-23,IM,q2,IM1506,2015-06-19,6502.067,,,pq,25.55821445956737,,,0.0
2015-01-26,IM,current,IM1502,2015-02-20,6642.612,,,y,0.0,,,
2015-01-26,IM,current,IM1502,2015-02-20,6642.612,,,d,0.0,,,
2015-01-26,IM,current,IM1502,2015-02-20,6642.612,,,p,0.0,,,
2015-01-26,IM,current,IM1502,2015-02-20,6642.612,,,pq,0.0,,,
2015-01-26,IM,next,IM1503,2015-03-20,6642.612,,,y,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,next,IM1503,2015-03-20,6642.612,,,d,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,next,IM1503,2015-03-20,6642.612,,,p,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,next,IM1503,2015-03-20,6642.612,,,pq,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,q1,IM1503,2015-03-20,6642.612,,,y,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,q1,IM1503,2015-03-20,6642.612,,,d,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,q1,IM1503,2015-03-20,6642.612,,,p,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,q1,IM1503,2015-03-20,6642.612,,,pq,0.448873189383222,,,0.03345022656716238
2015-01-26,IM,q2,IM1506,2015-06-19,6642.612,,,y,26.02453276328709,,,0.0005769521405577415
2015-01-26,IM,q2,IM1506,2015-06-19,6642.612,,,d,26.022935972419145,,,0.0005769875428624723
2015-01-26,IM,q2,IM1506,2015-06-19,6642.612,,,p,26.10267070736836,,,0.0005752250431813131
2015-01-26,IM,q2,IM1506,2015-06-19,6642.612,,,pq,26.10267070736836,,,0.0005752250431813131
2015-01-27,IM,current,IM1502,2015-02-20,6693.806,,,y,0.0,,,
2015-01-27,IM,current,IM1502,2015-02-20,6693.806,,,d,0.0,,,
2015-01-27,IM,current,IM1502,2015-02-20,6693.806,,,p,0.0,,,
2015-01-27,IM,current,IM1502,2015-02-20,6693.806,,,pq,0.0,,,
2015-01-27,IM,next,IM1503,2015-03-20,6693.806,,,y,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,next,IM1503,2015-03-20,6693.806,,,d,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,next,IM1503,2015-03-20,6693.806,,,p,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,next,IM1503,2015-03-20,6693.806,,,pq,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,q1,IM1503,2015-03-20,6693.806,,,y,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,q1,IM1503,2015-03-20,6693.806,,,d,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,q1,IM1503,2015-03-20,6693.806,,,p,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,q1,IM1503,2015-03-20,6693.806,,,pq,0.45233261378694817,,,0.03345022656716238
2015-01-27,IM,q2,IM1506,2015-06-19,6693.806,,,y,26.225101444746088,,,0.0005769521405577415
2015-01-27,IM,q2,IM1506,2015-06-19,6693.806,,,d,26.223492347557723,,,0.0005769875428624723
2015-01-27,IM,q2,IM1506,2015-06-19,6693.806,,,p,26.303841590778834,,,0.0005752250431813131
2015-01-27,IM,q2,IM1506,2015-06-19,6693.806,,,pq,26.303841590778834,,,0.0005752250431813131
2015-01-28,IM,current,IM1502,2015-02-20,6666.264,,,y,0.0,,,
2015-01-28,IM,current,IM1502,2015-02-20,6666.264,,,d,0.0,,,
2015-01-28,IM,current,IM1502,2015-02-20,6666.264,,,p,0.0,,,
2015-01-28,IM,current,IM1502,2015-02-20,6666.264,,,pq,0.0,,,
2015-01-28,IM,next,IM1503,2015-03-20,6666.264,,,y,0.4327772380904088,,,0.07297203473776695
2015-01-28,IM,next,IM1503,2015-03-20,6666.264,,,d,0.43277723809040886,,,0.07297203473776694
2015-01-28,IM,next,IM1503,2015-03-20,6666.264,,,p,0.4327772380904088,,,0.07297203473776695
2015-01-28,IM,next,IM1503,2015-03-20,6666.264,,,pq,0.4327772380904088,,,0.07297203473776695
2015-01-28,IM,q1,IM1503,2015-03-20,6666.264,,,y,0.4327772380904088,,,0.07297203473776695
2015-01-28,IM,q1,IM1503,2015-03-20,6666.264,,,d,0.43277723809040886,,,0.07297203473776694
2015-01-28,IM,q1,IM1503,2015-03-20,6666.264,,,p,0.4327772380904088,,,0.07297203473776695
2015-01-28,IM,q1,IM1503,2015-03-20,6666.264,,,pq,0.4327772380904088,,,0.07297203473776695
2015-01-28,IM,q2,IM1506,2015-06-19,6666.264,,,y,26.099502721043613,,,0.0012100090943949358
2015-01-28,IM,q2,IM1506,2015-06-19,6666.264,,,d,26.097900244566205,,,0.0012100833919856634
2015-01-28,IM,q2,IM1506,2015-06-19,6666.264,,,p,26.17791888680235,,,0.0012063845024582755
2015-01-28,IM,q2,IM1506,2015-06-19,6666.264,,,pq,26.17791888680235,,,0.0012063845024582755
2015-01-29,IM,current,IM1502,2015-02-20,6625.005,,,y,0.0,,,
2015-01-29,IM,current,IM1502,2015-02-20,6625.005,,,d,0.0,,,
2015-01-29,IM,current,IM1502,2015-02-20,6625.005,,,p,0.0,,,
2015-01-29,IM,current,IM1502,2015-02-20,6625.005,,,pq,0.0,,,
2015-01-29,IM,next,IM1503,2015-03-20,6625.005,,,y,0.43009868289571923,,,0.07297203473776695
2015-01-29,IM,next,IM1503,2015-03-20,6625.005,,,d,0.4300986828957193,,,0.07297203473776694
2015-01-29,IM,next,IM1503,2015-03-20,6625.005,,,p,0.43009868289571923,,,0.07297203473776695
2015-01-29,IM,next,IM1503,2015-03-20,6625.005,,,pq,0.43009868289571923,,,0.07297203473776695
2015-01-29,IM,q1,IM1503,2015-03-20,6625.005,,,y,0.43009868289571923,,,0.07297203473776695
2015-01-29,IM,q1,IM1503,2015-03-20,6625.005,,,d,0.4300986828957193,,,0.07297203473776694
2015-01-29,IM,q1,IM1503,2015-03-20,6625.005,,,p,0.43009868289571923,,,0.07297203473776695
2015-01-29,IM,q1,IM1503,2015-03-20,6625.005,,,pq,0.43009868289571923,,,0.07297203473776695
2015-01-29,IM,q2,IM1506,2015-06-19,6625.005,,,y,25.937967056874367,,,0.0012100090943949358
